season,bb_ref_team_name,ATL,BOS,BKN,CHI,CHA,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2010,New Orleans Hornets,2-0,1-1,1-1,0-2,2-0,2-0,2-2,2-1,1-1,1-2,3-1,1-1,2-1,0-4,2-2,1-1,2-0,1-2,NA,0-2,1-3,2-0,1-1,3-1,3-1,3-1,2-2,1-1,2-2,2-0
2010,New York Knicks,2-2,0-4,4-0,2-1,2-1,1-3,0-2,1-1,2-1,1-1,0-2,2-2,1-1,0-2,2-0,2-2,1-3,1-1,2-0,NA,1-1,1-3,2-2,1-1,1-1,1-1,1-1,4-0,1-1,3-0
2010,Oklahoma City Thunder,2-0,1-1,2-0,1-1,2-0,2-0,1-2,3-1,2-0,2-1,3-1,2-0,2-2,1-2,1-3,1-1,1-1,4-0,3-1,1-1,NA,1-1,2-0,3-1,3-1,4-0,0-3,0-2,3-1,2-0
2010,Orlando Magic,1-3,1-2,4-0,1-3,4-0,4-0,1-1,1-1,2-1,1-1,2-0,3-0,2-0,1-1,1-1,2-2,3-1,2-0,0-2,3-1,1-1,NA,3-1,2-0,0-2,1-1,1-1,1-2,0-2,4-0
2010,Philadelphia 76ers,2-2,1-3,4-0,2-1,2-1,2-2,0-2,2-0,1-2,1-1,2-0,2-2,2-0,0-2,0-2,0-3,2-2,2-0,1-1,2-2,0-2,1-3,NA,2-0,1-1,1-1,1-1,2-2,1-1,2-2
2010,Phoenix Suns,2-0,1-1,2-0,0-2,0-2,2-0,0-4,1-3,1-1,4-0,2-1,2-0,3-1,1-3,1-2,0-2,2-0,3-0,1-3,1-1,1-3,0-2,0-2,NA,1-3,1-3,1-3,2-0,3-0,2-0
2010,Portland Trail Blazers,0-2,0-2,1-1,1-1,1-1,2-0,2-2,2-2,2-0,1-3,2-1,1-1,3-0,1-3,2-1,1-1,2-0,4-0,1-3,1-1,1-3,2-0,1-1,3-1,NA,2-1,3-1,2-0,3-1,1-1
2010,Sacramento Kings,0-2,0-2,1-1,0-2,0-2,1-1,0-3,1-3,0-2,2-2,1-3,1-1,1-3,1-3,1-3,0-2,1-1,2-1,1-3,1-1,0-4,1-1,1-1,3-1,1-2,NA,0-3,1-1,1-3,1-1
2010,San Antonio Spurs,2-0,0-2,2-0,1-1,2-0,2-0,3-1,3-1,2-0,4-0,3-1,2-0,2-1,2-2,2-2,1-1,2-0,4-0,2-2,1-1,3-0,1-1,1-1,3-1,1-3,3-0,NA,2-0,3-0,2-0
2010,Toronto Raptors,0-3,1-3,2-2,1-3,0-4,2-1,1-1,0-2,1-3,0-2,1-1,1-2,1-1,0-2,0-2,0-4,0-4,1-1,1-1,0-4,2-0,2-1,2-2,0-2,0-2,1-1,0-2,NA,0-2,2-2
2010,Utah Jazz,1-1,0-2,1-1,0-2,2-0,2-0,0-4,2-2,1-1,1-3,1-2,2-0,3-0,2-2,2-2,1-1,2-0,3-1,2-2,1-1,1-3,2-0,1-1,0-3,1-3,3-1,0-3,2-0,NA,0-2
2010,Washington Wizards,1-3,2-2,2-1,0-4,2-2,2-2,0-2,0-2,1-2,0-2,1-1,1-3,0-2,0-2,1-1,0-4,1-2,1-1,0-2,0-3,0-2,0-4,2-2,0-2,1-1,1-1,0-2,2-2,2-0,NA
2009,Atlanta Hawks,NA,4-0,3-0,3-1,2-2,1-3,1-1,1-1,2-2,1-1,2-0,3-0,2-0,1-1,2-0,1-3,2-1,2-0,1-1,1-3,0-2,1-3,2-1,1-1,2-0,2-0,1-1,3-1,2-0,4-0
2009,Boston Celtics,0-4,NA,3-1,2-2,3-0,2-2,1-1,1-1,2-1,1-1,1-1,2-1,1-1,1-1,1-1,3-0,2-2,2-0,1-1,3-1,1-1,1-3,3-1,0-2,2-0,2-0,1-1,4-0,1-1,3-1
2009,Charlotte Bobcats,2-2,0-3,2-2,1-3,NA,3-1,0-2,1-1,2-1,2-0,1-1,1-2,1-1,1-1,2-0,3-1,2-2,2-0,1-1,2-2,1-1,1-3,3-1,2-0,0-2,2-0,1-1,1-2,0-2,4-0
2009,Chicago Bulls,1-3,2-2,1-2,NA,3-1,2-2,0-2,0-2,4-0,1-1,2-0,3-1,0-2,0-2,0-2,1-3,1-3,2-0,2-0,3-1,1-1,1-2,3-1,1-1,1-1,1-1,2-0,1-2,0-2,2-1
2009,Cleveland Cavaliers,3-1,2-2,4-0,2-2,1-3,NA,1-1,0-2,4-0,2-0,1-1,3-1,2-0,2-0,1-1,3-0,3-1,2-0,2-0,3-0,2-0,2-2,3-0,2-0,2-0,2-0,1-1,3-1,1-1,2-1
2009,Dallas Mavericks,1-1,1-1,2-0,2-0,2-0,1-1,NA,2-1,2-0,3-1,2-2,2-0,3-0,2-2,3-1,2-0,2-0,3-1,2-2,1-1,2-2,1-1,1-1,2-1,1-3,4-0,3-1,1-1,1-2,1-1
2009,Denver Nuggets,1-1,1-1,2-0,2-0,1-1,2-0,1-2,NA,1-1,4-0,2-1,2-0,2-1,3-1,3-1,1-1,0-2,3-1,3-1,1-1,3-1,1-1,1-1,1-3,3-1,1-2,2-2,2-0,3-1,1-1
2009,Detroit Pistons,2-2,1-2,2-1,0-4,1-2,0-4,0-2,1-1,NA,1-1,1-1,0-4,0-2,0-2,1-1,1-2,2-2,2-0,1-1,1-3,0-2,1-3,3-1,0-2,0-2,1-1,1-1,0-4,0-2,4-0
2009,Golden State Warriors,1-1,1-1,2-0,1-1,0-2,0-2,1-3,0-4,1-1,NA,0-3,1-1,2-2,0-4,2-2,0-2,0-2,3-0,1-3,2-0,1-3,0-2,0-2,1-3,2-2,2-2,0-3,2-0,0-3,0-2
2009,Houston Rockets,0-2,1-1,2-0,0-2,1-1,1-1,2-2,1-2,1-1,3-0,NA,0-2,2-1,1-3,4-0,0-2,2-0,3-0,1-3,2-0,3-1,0-2,1-1,0-4,2-2,2-2,2-2,1-1,2-2,2-0
2009,Indiana Pacers,0-3,1-2,4-0,1-3,2-1,1-3,0-2,0-2,4-0,1-1,2-0,NA,1-1,0-2,0-2,0-4,0-4,1-1,0-2,2-2,1-1,1-3,2-1,1-1,0-2,1-1,0-2,2-2,1-1,3-1
2009,Los Angeles Clippers,0-2,1-1,1-1,2-0,1-1,0-2,0-3,1-2,2-0,2-2,1-2,1-1,NA,2-2,2-2,1-1,1-1,3-1,0-4,0-2,1-2,0-2,2-0,0-4,1-3,1-3,0-4,0-2,1-3,2-0
2009,Los Angeles Lakers,1-1,1-1,2-0,2-0,1-1,0-2,2-2,1-3,2-0,4-0,3-1,2-0,2-2,NA,2-1,1-1,2-0,3-0,2-1,2-0,3-1,1-1,2-0,3-1,1-2,4-0,2-2,1-1,3-1,2-0
2009,Memphis Grizzlies,0-2,1-1,2-0,2-0,0-2,1-1,1-3,1-3,1-1,2-2,0-4,2-0,2-2,1-2,NA,1-1,0-2,3-1,2-2,2-0,1-2,1-1,1-1,2-2,2-2,2-1,2-2,2-0,1-2,2-0
2009,Miami Heat,3-1,0-3,4-0,3-1,1-3,0-3,0-2,1-1,2-1,2-0,2-0,4-0,1-1,1-1,1-1,NA,1-3,1-1,1-1,3-0,0-2,2-2,4-0,1-1,1-1,2-0,0-2,2-2,1-1,3-1
2009,Milwaukee Bucks,1-2,2-2,4-0,3-1,2-2,1-3,0-2,2-0,2-2,2-0,0-2,4-0,1-1,0-2,2-0,3-1,NA,2-0,1-1,3-0,1-1,0-3,2-2,1-1,1-1,1-1,0-2,2-1,1-1,2-2
2009,Minnesota Timberwolves,0-2,0-2,2-0,0-2,0-2,0-2,1-3,1-3,0-2,0-3,0-3,1-1,1-3,0-3,1-3,1-1,0-2,NA,0-4,1-1,0-4,0-2,1-1,0-4,0-4,2-2,0-3,0-2,2-2,1-1
2009,New Jersey Nets,0-3,1-3,NA,2-1,2-2,0-4,0-2,0-2,1-2,0-2,0-2,0-4,1-1,0-2,0-2,0-4,0-4,0-2,1-1,2-2,0-2,0-3,0-4,0-2,0-2,1-1,1-1,0-4,0-2,0-4
2009,New Orleans Hornets,1-1,1-1,1-1,0-2,1-1,0-2,2-2,1-3,1-1,3-1,3-1,2-0,4-0,1-2,2-2,1-1,1-1,4-0,NA,0-2,1-2,1-1,0-2,1-3,1-2,2-1,0-4,0-2,1-3,1-1
2009,New York Knicks,3-1,1-3,2-2,1-3,2-2,0-3,1-1,1-1,3-1,0-2,0-2,2-2,2-0,0-2,0-2,0-3,0-3,1-1,2-0,NA,0-2,0-3,3-1,1-1,1-1,0-2,0-2,0-4,0-2,3-1
2009,Oklahoma City Thunder,2-0,1-1,2-0,1-1,1-1,0-2,2-2,1-3,2-0,3-1,1-3,1-1,2-1,1-3,2-1,2-0,1-1,4-0,2-1,2-0,NA,1-1,2-0,2-1,1-3,3-1,1-3,2-0,3-1,2-0
2009,Orlando Magic,3-1,3-1,3-0,2-1,3-1,2-2,1-1,1-1,3-1,2-0,2-0,3-1,2-0,1-1,1-1,2-2,3-0,2-0,1-1,3-0,1-1,NA,4-0,1-1,1-1,2-0,1-1,3-1,1-1,2-2
